trans_id,date,store_id,product_id,customer_id,quantity,total_revenue,cost,gross_profit,shipping_cost_total,allocated_marketing_dzd,net_profit
19,2023-04-19 09:22:00,6,P101,C0519,1,260000.0,167880.0,92120.0,0.0,0.0,92120.0
20,2025-01-04 17:18:00,9,P117,C0593,1,290000.0,209699.0,80301.0,488.0,0.0,79813.0
21,2024-06-09 14:21:00,1,P119,C1036,1,2800.0,1695.0,1105.0,0.0,100.1344251431817,1004.87
22,2023-01-29 12:19:00,2,P120,C1068,3,4500.0,3087.0,1413.0,542.6666666666666,189.20041955785058,681.13
23,2023-05-28 13:13:00,4,P137,C1051,2,4400.0,2844.0,1556.0,488.0,542.8436018957345,525.16
24,2025-09-06 13:55:00,1,P120,C1102,1,1500.0,1029.0,471.0,0.0,60.200305484113706,410.8
25,2024-07-02 15:56:00,1,P121,C0868,5,4000.0,2630.0,1370.0,0.0,163.41101003877793,1206.59
26,2024-07-02 17:20:00,8,P110,C0088,1,24000.0,15039.0,8961.0,488.0,529.9747336043063,7943.03
27,2025-07-06 11:30:00,1,P118,C1012,2,7000.0,4946.0,2054.0,0.0,408.25090941887385,1645.75
28,2025-01-14 17:17:00,7,P124,C0559,1,48000.0,33033.0,14967.0,542.6666666666666,1088.81822088526,13335.52
29,2024-10-29 10:22:00,6,P120,C1179,2,3000.0,2058.0,942.0,0.0,168.54132978217444,773.46
30,2023-08-11 15:11:00,3,P137,C0542,5,11000.0,7110.0,3890.0,488.0,891.6797558677018,2510.32
31,2025-10-18 18:44:00,9,P136,C0683,3,7500.0,4818.0,2682.0,488.0,696.3910409626637,1497.61
32,2024-10-19 15:01:00,5,P109,C0228,1,42000.0,31127.0,10873.0,488.0,470.88894301022896,9914.11
33,2025-05-09 15:32:00,1,P135,C0500,1,12000.0,8606.0,3394.0,0.0,1266.60810061032,2127.39
34,2024-04-03 15:24:00,6,P120,C0611,2,3000.0,2058.0,942.0,0.0,220.3131022078661,721.69
35,2025-10-11 13:36:00,4,P125,C0273,2,9000.0,6172.0,2828.0,488.0,239.86838497395118,2100.13
36,2025-09-27 15:31:00,1,P133,C0216,1,45000.0,32905.0,12095.0,0.0,3739.4070269639315,8355.59
37,2023-06-26 10:01:00,5,P137,C0080,5,11000.0,7110.0,3890.0,488.0,1277.2481469395366,2124.75
38,2023-10-04 11:02:00,3,P118,C0785,2,7000.0,4946.0,2054.0,488.0,311.78739539748955,1254.21
39,2025-06-23 19:05:00,3,P133,C0471,1,45000.0,32905.0,12095.0,488.0,2965.6928694983662,8641.31
40,2025-03-13 16:24:00,3,P134,C0602,1,28000.0,17855.0,10145.0,488.0,1369.7814076387222,8287.22
41,2025-02-22 12:13:00,11,P137,C0530,3,6600.0,4266.0,2334.0,992.3333333333334,784.4373986137738,557.23
42,2024-08-10 09:36:00,10,P115,C1168,1,230000.0,161913.0,68087.0,992.3333333333334,-6384.484197539823,73479.15
43,2024-01-20 12:30:00,5,P109,C0831,1,42000.0,31127.0,10873.0,488.0,781.773905885581,9603.23
44,2023-01-08 15:53:00,3,P119,C1154,1,2800.0,1695.0,1105.0,488.0,117.72470550266259,499.28
45,2024-08-30 12:23:00,6,P119,C0957,2,5600.0,3390.0,2210.0,0.0,-155.4483108966218,2365.45
46,2025-11-09 16:31:00,6,P120,C0121,1,1500.0,1029.0,471.0,0.0,72.8300605807395,398.17
47,2024-12-21 19:37:00,2,P113,C0383,1,58000.0,37157.0,20843.0,542.6666666666666,2950.4099079351163,17349.92
48,2024-01-11 14:40:00,6,P125,C0281,1,4500.0,3086.0,1414.0,0.0,83.82396268107046,1330.18
49,2025-01-04 12:34:00,1,P121,C0936,1,800.0,526.0,274.0,0.0,0.0,274.0
50,2025-01-31 16:26:00,4,P118,C0038,2,7000.0,4946.0,2054.0,488.0,0.0,1566.0
51,2023-08-21 18:43:00,6,P137,C0571,1,2200.0,1422.0,778.0,0.0,178.3359511735404,599.66
52,2025-05-21 13:48:00,3,P126,C0269,1,24000.0,17991.0,6009.0,488.0,0.0,5521.0
53,2024-01-19 14:09:00,9,P118,C0120,2,7000.0,4946.0,2054.0,488.0,0.0,1566.0
54,2024-07-03 16:18:00,11,P134,C0261,1,28000.0,17855.0,10145.0,992.3333333333334,2081.734613957706,7070.93
55,2023-03-13 09:51:00,8,P104,C0956,1,310000.0,196558.0,113442.0,488.0,6021.254338125929,106932.75
56,2025-02-21 13:59:00,3,P136,C0110,5,12500.0,8030.0,4470.0,488.0,1485.6768913139656,2496.32
57,2025-03-08 12:17:00,1,P127,C0185,1,9500.0,6907.0,2593.0,0.0,178.29951014695592,2414.7
58,2024-12-10 18:13:00,8,P137,C0866,2,4400.0,2844.0,1556.0,488.0,526.5146360611611,541.49
59,2024-06-09 10:40:00,3,P110,C0852,1,24000.0,15039.0,8961.0,488.0,568.9506880733945,7904.05
60,2024-01-11 11:07:00,4,P111,C0296,1,185000.0,117065.0,67935.0,488.0,0.0,67447.0
61,2025-07-30 17:31:00,2,P133,C1156,1,45000.0,32905.0,12095.0,542.6666666666666,3028.1052490026445,8524.23
62,2024-02-20 17:45:00,5,P120,C0854,3,4500.0,3087.0,1413.0,488.0,300.66184987038775,624.34
63,2023-07-05 11:12:00,1,P121,C0327,3,2400.0,1578.0,822.0,0.0,-126.97911607576494,948.98
64,2025-07-05 17:36:00,1,P133,C0700,1,45000.0,32905.0,12095.0,0.0,3028.1052490026445,9066.89
65,2023-04-21 15:03:00,4,P137,C0962,1,2200.0,1422.0,778.0,488.0,0.0,290.0
66,2025-10-10 20:45:00,4,P121,C0624,1,800.0,526.0,274.0,488.0,40.8205294523047,-254.82
67,2024-01-11 20:36:00,2,P118,C0367,5,17500.0,12365.0,5135.0,542.6666666666666,0.0,4592.33
68,2023-11-24 12:51:00,1,P113,C0826,1,58000.0,37157.0,20843.0,0.0,3599.8187858652973,17243.18
69,2024-11-24 10:28:00,10,P120,C0227,1,1500.0,1029.0,471.0,992.3333333333334,103.08334177654909,-624.42
70,2024-06-11 12:36:00,4,P126,C0746,1,24000.0,17991.0,6009.0,488.0,398.828418761132,5122.17
71,2023-12-10 11:26:00,10,P118,C0968,1,3500.0,2473.0,1027.0,992.3333333333334,265.5609961735521,-230.89
72,2023-02-26 10:00:00,8,P129,C1017,1,68000.0,46007.0,21993.0,488.0,2131.46517213771,19373.53
73,2024-07-19 11:38:00,5,P119,C0181,2,5600.0,3390.0,2210.0,488.0,228.77541405428914,1493.22
74,2025-06-30 13:57:00,5,P104,C0704,1,310000.0,196558.0,113442.0,488.0,7313.592233009708,105640.41
75,2025-06-28 09:48:00,2,P120,C0413,1,1500.0,1029.0,471.0,542.6666666666666,78.26227390180878,-149.93
76,2024-06-08 20:05:00,9,P118,C0051,5,17500.0,12365.0,5135.0,488.0,625.8401571448857,4021.16
77,2025-01-21 09:34:00,3,P137,C0700,2,4400.0,2844.0,1556.0,488.0,486.24952308279285,581.75
78,2024-04-30 16:26:00,7,P125,C0699,3,13500.0,9258.0,4242.0,542.6666666666666,229.95942408376965,3469.37
79,2023-11-06 15:57:00,1,P121,C0238,3,2400.0,1578.0,822.0,0.0,148.9580187254606,673.04
80,2024-06-16 20:55:00,1,P137,C0782,1,2200.0,1422.0,778.0,0.0,170.8884758364312,607.11
81,2023-03-11 11:00:00,5,P118,C0423,1,3500.0,2473.0,1027.0,488.0,135.94675794195427,403.05
82,2025-10-25 19:42:00,5,P129,C0400,1,68000.0,46007.0,21993.0,488.0,868.2465462274176,20636.75
83,2024-05-01 16:22:00,2,P121,C0547,1,800.0,526.0,274.0,542.6666666666666,20.476809100804044,-289.14
84,2023-07-04 20:03:00,2,P119,C1157,2,5600.0,3390.0,2210.0,542.6666666666666,-296.28460417678485,1963.62
85,2025-08-26 19:51:00,1,P118,C0954,1,3500.0,2473.0,1027.0,0.0,168.4863586390464,858.51
86,2023-08-25 10:33:00,3,P120,C0557,1,1500.0,1029.0,471.0,488.0,109.4515358444128,-126.45
87,2023-01-08 18:11:00,12,P112,C0090,1,38000.0,25796.0,12204.0,992.3333333333334,1597.6924318218494,9613.97
88,2024-06-08 12:22:00,2,P121,C0558,2,1600.0,1052.0,548.0,542.6666666666666,57.21967151038955,-51.89
89,2024-10-20 18:48:00,3,P121,C0390,1,800.0,526.0,274.0,488.0,44.94435460857985,-258.94
90,2024-06-25 12:27:00,8,P119,C0551,3,8400.0,5085.0,3315.0,488.0,300.4032754295451,2526.6
91,2025-09-05 14:18:00,12,P118,C0452,2,7000.0,4946.0,2054.0,992.3333333333334,280.93475892586395,780.73
92,2023-08-06 18:45:00,4,P130,C0655,1,130000.0,83075.0,46925.0,488.0,2268.9814814814818,44168.02
93,2025-05-15 11:24:00,2,P120,C0355,2,3000.0,2058.0,942.0,542.6666666666666,82.31116076772675,317.02
94,2024-01-02 15:06:00,7,P113,C0470,1,58000.0,37157.0,20843.0,542.6666666666666,0.0,20300.33
95,2025-07-21 18:35:00,4,P136,C0583,2,5000.0,3212.0,1788.0,488.0,336.4561387780716,963.54
96,2024-07-21 12:55:00,7,P137,C1013,1,2200.0,1422.0,778.0,542.6666666666666,163.56486252524837,71.77
97,2023-12-03 16:47:00,1,P125,C0430,3,13500.0,9258.0,4242.0,0.0,437.0103092783505,3804.99
98,2023-09-07 12:07:00,3,P126,C0490,1,24000.0,17991.0,6009.0,488.0,623.7508111615833,4897.25
99,2024-08-13 14:39:00,3,P137,C0505,2,4400.0,2844.0,1556.0,488.0,0.0,1068.0
100,2024-10-05 11:37:00,1,P109,C0711,1,42000.0,31127.0,10873.0,0.0,470.88894301022896,10402.11
101,2025-06-24 10:09:00,3,P124,C0452,1,48000.0,33033.0,14967.0,488.0,709.0790899241604,13769.92
102,2024-11-11 17:37:00,1,P124,C0047,1,48000.0,33033.0,14967.0,0.0,2173.858845096242,12793.14
103,2024-02-11 19:49:00,1,P113,C0928,1,58000.0,37157.0,20843.0,0.0,3875.1971761072195,16967.8
104,2025-07-03 11:08:00,4,P123,C0929,1,9500.0,7113.0,2387.0,488.0,122.5238837980113,1776.48
105,2025-08-01 11:47:00,3,P120,C0999,1,1500.0,1029.0,471.0,488.0,72.20843941673418,-89.21
106,2023-04-06 20:11:00,7,P137,C0766,3,6600.0,4266.0,2334.0,542.6666666666666,0.0,1791.33
107,2023-07-29 11:21:00,1,P119,C0298,1,2800.0,1695.0,1105.0,0.0,-148.14230208839243,1253.14
108,2023-08-08 18:52:00,7,P118,C0799,2,7000.0,4946.0,2054.0,542.6666666666666,510.7738339405931,1000.56
109,2025-03-30 12:40:00,7,P125,C1021,2,9000.0,6172.0,2828.0,542.6666666666666,168.91532540237927,2116.42
110,2023-09-26 14:05:00,3,P121,C1190,1,800.0,526.0,274.0,488.0,30.599255618923053,-244.6
111,2025-11-29 14:49:00,5,P125,C0542,3,13500.0,9258.0,4242.0,488.0,371.9865211810013,3382.01
112,2023-10-05 18:37:00,5,P136,C0914,3,7500.0,4818.0,2682.0,488.0,558.5196204567385,1635.48
113,2024-11-21 14:07:00,2,P108,C0107,1,48000.0,31082.0,16918.0,542.6666666666666,1563.2147141143544,14812.12
114,2025-12-05 20:06:00,9,P120,C1028,2,3000.0,2058.0,942.0,488.0,178.17277608514476,275.83
115,2024-05-26 20:41:00,2,P135,C0949,1,12000.0,8606.0,3394.0,542.6666666666666,662.0151814495165,2189.32
116,2024-12-12 16:48:00,2,P137,C0103,2,4400.0,2844.0,1556.0,542.6666666666666,526.5146360611611,486.82
117,2025-04-16 20:13:00,5,P136,C0685,3,7500.0,4818.0,2682.0,488.0,958.5312128975818,1235.47
118,2023-05-29 11:57:00,1,P118,C0639,1,3500.0,2473.0,1027.0,0.0,104.81167946050648,922.19
119,2023-12-02 09:46:00,5,P121,C0694,1,800.0,526.0,274.0,488.0,60.69965626824048,-274.7
120,2023-05-09 12:09:00,7,P133,C0007,1,45000.0,32905.0,12095.0,542.6666666666666,5551.80956484274,6000.52
121,2024-08-11 16:39:00,8,P119,C0924,2,5600.0,3390.0,2210.0,488.0,-155.4483108966218,1877.45
122,2024-01-23 13:15:00,1,P136,C0857,2,5000.0,3212.0,1788.0,0.0,530.3052265385571,1257.69
123,2023-09-06 10:11:00,1,P126,C0717,1,24000.0,17991.0,6009.0,0.0,623.7508111615833,5385.25
124,2024-12-19 14:55:00,1,P112,C0505,1,38000.0,25796.0,12204.0,0.0,1933.0271810609381,10270.97
125,2023-12-31 18:01:00,6,P125,C0750,2,9000.0,6172.0,2828.0,0.0,291.340206185567,2536.66
126,2024-06-23 13:16:00,6,P120,C0448,3,4500.0,3087.0,1413.0,0.0,160.93032612297063,1252.07
127,2025-01-15 15:13:00,2,P119,C0215,1,2800.0,1695.0,1105.0,542.6666666666666,0.0,562.33
128,2025-12-10 11:49:00,1,P126,C0808,1,24000.0,17991.0,6009.0,0.0,498.3792705066843,5510.62
129,2024-10-06 09:15:00,1,P120,C0572,3,4500.0,3087.0,1413.0,0.0,252.81199467326167,1160.19
130,2023-09-22 12:10:00,1,P118,C0161,3,10500.0,7419.0,3081.0,0.0,401.6152299983651,2679.38
131,2025-05-31 19:58:00,1,P133,C0826,1,45000.0,32905.0,12095.0,0.0,4749.7803772887,7345.22
132,2024-03-19 11:00:00,5,P118,C0984,5,17500.0,12365.0,5135.0,488.0,926.0871724411925,3720.91
133,2024-06-06 10:58:00,1,P113,C0828,1,58000.0,37157.0,20843.0,0.0,2074.213092251621,18768.79
134,2024-08-23 18:42:00,1,P119,C0077,2,5600.0,3390.0,2210.0,0.0,-155.4483108966218,2365.45
135,2025-05-03 09:28:00,4,P121,C0833,3,2400.0,1578.0,822.0,488.0,65.84892861418139,268.15
136,2024-06-29 12:03:00,10,P112,C0297,1,38000.0,25796.0,12204.0,992.3333333333334,1358.9671983717517,9852.7
137,2025-03-19 15:33:00,6,P118,C0442,1,3500.0,2473.0,1027.0,0.0,80.39759967410718,946.6
138,2023-07-10 11:56:00,6,P109,C0165,1,42000.0,31127.0,10873.0,0.0,966.9297709923663,9906.07
139,2024-05-05 10:28:00,6,P110,C1092,1,24000.0,15039.0,8961.0,0.0,711.9745222929936,8249.03
140,2025-07-18 16:10:00,3,P137,C0577,3,6600.0,4266.0,2334.0,488.0,444.12210318705456,1401.88
141,2025-05-31 16:37:00,10,P125,C0276,3,13500.0,9258.0,4242.0,992.3333333333334,0.0,3249.67
142,2024-03-26 20:31:00,5,P136,C0525,1,2500.0,1606.0,894.0,488.0,233.25834515719512,172.74
143,2023-02-26 17:45:00,1,P137,C0526,2,4400.0,2844.0,1556.0,0.0,437.7160305343511,1118.28
144,2025-11-23 13:39:00,4,P136,C0393,3,7500.0,4818.0,2682.0,488.0,682.1519581545065,1511.85
145,2023-05-14 10:31:00,1,P114,C0644,1,75000.0,53367.0,21633.0,0.0,2245.9645598679963,19387.04
146,2025-01-07 12:04:00,10,P119,C0641,5,14000.0,8475.0,5525.0,992.3333333333334,0.0,4532.67
147,2024-12-27 13:45:00,1,P118,C0755,1,3500.0,2473.0,1027.0,0.0,178.04197720298114,848.96
148,2025-06-15 17:02:00,2,P108,C0586,1,48000.0,31082.0,16918.0,542.6666666666666,1132.4271844660193,15242.91
149,2024-12-26 10:41:00,1,P102,C0507,1,195000.0,141052.0,53948.0,0.0,4047.0905172413795,49900.91
150,2023-12-31 20:56:00,11,P136,C0262,2,5000.0,3212.0,1788.0,992.3333333333334,428.8922155688623,366.77
151,2025-05-31 17:06:00,9,P135,C1059,1,12000.0,8606.0,3394.0,488.0,1266.60810061032,1639.39
152,2024-03-04 13:31:00,8,P120,C1080,1,1500.0,1029.0,471.0,488.0,79.37890049495935,-96.38
153,2024-07-04 16:29:00,1,P120,C0062,1,1500.0,1029.0,471.0,0.0,61.27912876454174,409.72
154,2023-11-16 17:51:00,3,P123,C0484,1,9500.0,7113.0,2387.0,488.0,392.2875245794188,1506.71
155,2023-02-07 17:06:00,8,P136,C1042,1,2500.0,1606.0,894.0,488.0,248.70229007633588,157.3
156,2023-07-22 17:27:00,1,P119,C1065,1,2800.0,1695.0,1105.0,0.0,-148.14230208839243,1253.14
157,2025-05-27 11:31:00,2,P137,C0541,1,2200.0,1422.0,778.0,542.6666666666666,232.211485111892,3.12
158,2023-11-14 10:00:00,4,P101,C0934,1,260000.0,167880.0,92120.0,488.0,0.0,91632.0
159,2023-12-20 19:41:00,1,P128,C0208,1,58000.0,37743.0,20257.0,0.0,1558.7944785276075,18698.21
160,2025-06-04 15:04:00,2,P119,C0535,2,5600.0,3390.0,2210.0,542.6666666666666,292.17915590008613,1375.15
161,2023-07-25 10:20:00,3,P108,C1129,1,48000.0,31082.0,16918.0,488.0,1105.0625954198472,15324.94
162,2024-07-01 17:23:00,3,P112,C0415,1,38000.0,25796.0,12204.0,488.0,1552.4045953683903,10163.6
163,2025-02-02 16:17:00,2,P137,C0210,3,6600.0,4266.0,2334.0,542.6666666666666,784.4373986137738,1006.9
164,2023-09-30 10:46:00,6,P137,C1098,5,11000.0,7110.0,3890.0,0.0,784.2531095278349,3105.75
165,2023-04-24 10:17:00,1,P136,C0909,2,5000.0,3212.0,1788.0,0.0,0.0,1788.0
166,2025-03-07 14:33:00,6,P137,C0234,3,6600.0,4266.0,2334.0,0.0,322.8770460862702,2011.12
167,2025-10-28 19:39:00,1,P119,C0844,3,8400.0,5085.0,3315.0,0.0,428.6155592491993,2886.38
168,2024-09-29 18:32:00,2,P113,C0373,1,58000.0,37157.0,20843.0,542.6666666666666,0.0,20300.33
169,2025-11-29 19:10:00,1,P121,C1161,1,800.0,526.0,274.0,0.0,38.8426989763944,235.16
170,2024-06-17 09:22:00,3,P134,C0579,1,28000.0,17855.0,10145.0,488.0,2174.9442379182155,7482.06
171,2025-03-27 13:40:00,1,P121,C1005,1,800.0,526.0,274.0,0.0,18.376594211224504,255.62
172,2024-09-11 14:08:00,3,P113,C0483,1,58000.0,37157.0,20843.0,488.0,0.0,20355.0
173,2024-06-24 12:50:00,3,P136,C0388,5,12500.0,8030.0,4470.0,488.0,970.9572490706319,3011.04
174,2025-08-23 16:16:00,11,P100,C0063,1,125000.0,87901.0,37099.0,992.3333333333334,2334.383645865355,33772.28
175,2023-04-10 16:51:00,2,P120,C0755,2,3000.0,2058.0,942.0,542.6666666666666,182.65546784751635,216.68
176,2024-03-09 10:20:00,1,P132,C0266,1,38000.0,23961.0,14039.0,0.0,3545.5268463893663,10493.47
177,2023-02-16 12:16:00,4,P106,C0939,1,320000.0,198987.0,121013.0,488.0,8809.462494385387,111715.54
178,2023-10-11 11:17:00,1,P119,C0323,1,2800.0,1695.0,1105.0,0.0,124.71495815899581,980.29
179,2023-12-28 17:49:00,2,P111,C0020,1,185000.0,117065.0,67935.0,542.6666666666666,14036.795512030612,53355.54
180,2023-01-31 18:34:00,4,P125,C0324,3,13500.0,9258.0,4242.0,488.0,375.11001604400644,3378.89
181,2025-06-24 11:23:00,3,P137,C1070,2,4400.0,2844.0,1556.0,488.0,289.9788583509514,778.02
182,2023-07-13 20:49:00,6,P113,C0801,1,58000.0,37157.0,20843.0,0.0,-3068.661971830986,23911.66
183,2023-02-09 15:40:00,7,P118,C0736,1,3500.0,2473.0,1027.0,542.6666666666666,195.61590012246563,288.72
184,2024-02-10 10:20:00,1,P112,C0037,1,38000.0,25796.0,12204.0,0.0,2538.9222877943853,9665.08
185,2025-10-02 16:00:00,6,P133,C0670,1,45000.0,32905.0,12095.0,0.0,4178.346245775983,7916.65
186,2023-02-05 20:47:00,5,P120,C1087,5,7500.0,5145.0,2355.0,488.0,419.17692883385496,1447.82
187,2023-10-22 13:45:00,1,P121,C0407,1,800.0,526.0,274.0,0.0,35.63284518828452,238.37
188,2024-02-14 18:08:00,2,P136,C0964,5,12500.0,8030.0,4470.0,542.6666666666666,1179.5872838817625,2747.75
189,2024-10-04 12:11:00,2,P121,C0652,2,1600.0,1052.0,548.0,542.6666666666666,89.8887092171597,-84.56
190,2024-07-19 15:02:00,3,P118,C1069,1,3500.0,2473.0,1027.0,488.0,142.98463378393072,396.02
191,2023-07-12 09:53:00,1,P136,C0828,1,2500.0,1606.0,894.0,0.0,271.7378766206801,622.26
192,2025-11-08 15:14:00,3,P134,C0843,1,28000.0,17855.0,10145.0,488.0,2546.700643776824,7110.3
193,2023-09-10 10:21:00,9,P128,C0889,1,58000.0,37743.0,20257.0,488.0,620.4382470119522,19148.56
194,2023-08-07 14:45:00,1,P107,C0624,1,65000.0,40453.0,24547.0,0.0,1245.5202312138729,23301.48
195,2024-09-24 11:01:00,6,P137,C0731,3,6600.0,4266.0,2334.0,0.0,559.7142317618178,1774.29
196,2025-12-12 09:49:00,7,P127,C1123,1,9500.0,6907.0,2593.0,542.6666666666666,197.27512790889585,1853.06
197,2025-04-15 10:49:00,4,P127,C0448,1,9500.0,6907.0,2593.0,488.0,214.31697612732094,1890.68
198,2023-08-06 17:23:00,5,P118,C0547,1,3500.0,2473.0,1027.0,488.0,255.38691697029654,283.61
199,2023-12-31 09:45:00,1,P120,C0108,2,3000.0,2058.0,942.0,0.0,227.6237110059018,714.38
200,2025-11-16 09:19:00,5,P119,C0134,1,2800.0,1695.0,1105.0,488.0,135.94944641738041,481.05
201,2025-04-24 14:59:00,5,P118,C0732,2,7000.0,4946.0,2054.0,488.0,244.12205166604267,1321.88
202,2025-08-07 10:35:00,5,P118,C0460,2,7000.0,4946.0,2054.0,488.0,336.9727172780928,1229.03
203,2025-02-09 18:40:00,9,P125,C0536,1,4500.0,3086.0,1414.0,488.0,0.0,926.0
204,2023-10-29 18:47:00,11,P121,C0437,1,800.0,526.0,274.0,992.3333333333334,35.63284518828452,-753.97
205,2024-08-04 12:18:00,10,P110,C0543,1,24000.0,15039.0,8961.0,992.3333333333334,494.978313253012,7473.69
206,2023-03-25 13:09:00,1,P132,C0136,1,38000.0,23961.0,14039.0,0.0,4422.325950938524,9616.67
207,2025-01-29 10:30:00,11,P121,C1096,1,800.0,526.0,274.0,992.3333333333334,0.0,-718.33
208,2023-02-10 11:16:00,3,P119,C0243,1,2800.0,1695.0,1105.0,488.0,156.49272009797252,460.51
209,2023-08-06 14:08:00,6,P121,C0045,1,800.0,526.0,274.0,0.0,58.3741524503535,215.63
210,2025-09-11 19:31:00,6,P126,C0171,1,24000.0,17991.0,6009.0,0.0,577.8495412844037,5431.15
211,2023-10-28 19:42:00,1,P106,C0769,1,320000.0,198987.0,121013.0,0.0,5993.406593406594,115019.59
212,2023-06-14 16:46:00,2,P119,C0249,1,2800.0,1695.0,1105.0,542.6666666666666,89.08827785817657,473.25
213,2024-12-13 18:13:00,5,P121,C0160,3,2400.0,1578.0,822.0,488.0,122.08592722490135,211.91
214,2023-01-28 14:53:00,5,P119,C0420,2,5600.0,3390.0,2210.0,488.0,235.44941100532517,1486.55
215,2023-06-20 20:18:00,3,P137,C0616,3,6600.0,4266.0,2334.0,488.0,766.348888163722,1079.65
216,2025-07-19 18:47:00,3,P118,C0862,1,3500.0,2473.0,1027.0,488.0,204.12545470943692,334.87
217,2024-10-28 16:24:00,2,P124,C1195,1,48000.0,33033.0,14967.0,542.6666666666666,953.6647984089676,13470.67
218,2023-02-08 18:38:00,6,P125,C0381,1,4500.0,3086.0,1414.0,0.0,62.07837194197879,1351.92
219,2024-03-30 12:11:00,2,P137,C0203,1,2200.0,1422.0,778.0,542.6666666666666,205.2673437383317,30.07
220,2023-11-07 09:47:00,9,P119,C0806,1,2800.0,1695.0,1105.0,488.0,173.78435517970402,443.22
221,2024-02-29 14:38:00,1,P137,C0975,1,2200.0,1422.0,778.0,0.0,207.6073619631902,570.39
222,2025-11-10 15:32:00,6,P125,C0056,2,9000.0,6172.0,2828.0,0.0,247.99101412066753,2580.01
223,2023-02-21 14:49:00,8,P134,C1175,1,28000.0,17855.0,10145.0,488.0,2785.465648854962,6871.53
224,2025-08-08 16:29:00,4,P134,C1172,1,28000.0,17855.0,10145.0,488.0,-2621.595714688469,12278.6
225,2023-02-14 19:49:00,2,P128,C0166,1,58000.0,37743.0,20257.0,542.6666666666666,1818.0144115292233,17896.32
226,2023-01-14 19:18:00,4,P124,C0110,1,48000.0,33033.0,14967.0,488.0,1333.7245014898008,13145.28
227,2023-12-19 13:12:00,3,P110,C0696,1,24000.0,15039.0,8961.0,488.0,361.04938785708333,8111.95
228,2024-06-05 11:28:00,7,P112,C0679,1,38000.0,25796.0,12204.0,542.6666666666666,1358.9671983717517,10302.37
229,2025-10-16 15:31:00,2,P119,C0593,1,2800.0,1695.0,1105.0,542.6666666666666,142.87185308306644,419.46
230,2023-10-03 13:06:00,7,P127,C0852,1,9500.0,6907.0,2593.0,542.6666666666666,195.76439914671724,1854.57
231,2023-01-09 11:13:00,1,P137,C0591,3,6600.0,4266.0,2334.0,0.0,858.3383305929007,1475.66
232,2024-12-01 11:36:00,6,P119,C0443,1,2800.0,1695.0,1105.0,0.0,142.43358176238493,962.57
233,2023-02-21 18:30:00,2,P118,C0169,1,3500.0,2473.0,1027.0,542.6666666666666,195.61590012246563,288.72
234,2024-08-21 20:15:00,8,P125,C0259,3,13500.0,9258.0,4242.0,488.0,362.88528794590815,3391.11
235,2024-06-05 17:23:00,1,P131,C0552,1,360000.0,218747.0,141253.0,0.0,0.0,141253.0
236,2025-11-17 13:36:00,1,P130,C0882,1,130000.0,83075.0,46925.0,0.0,4981.822709163347,41943.18
237,2024-07-31 16:39:00,12,P118,C0225,1,3500.0,2473.0,1027.0,992.3333333333334,142.98463378393072,-108.32
