trans_id,date,store_id,product_id,customer_id,quantity,total_revenue,month,unit_cost,city_id,region_name,shipping_cost,subcategory_id,category_id,category,allocated_marketing_dzd,product_total_cost,net_profit
25,2024-07-02 15:56:00,1,P121,C0868,5,4000.0,2024-07,526.0,10,South,0.0,6,2,smartphones,163.41101003877793,2630.0,1206.59
26,2024-07-02 17:20:00,8,P110,C0088,1,24000.0,2024-07,15039.0,4,East,0.0,3,1,computers,529.9747336043063,15039.0,8431.03
27,2025-07-06 11:30:00,1,P118,C1012,2,7000.0,2025-07,2473.0,12,East,0.0,6,2,smartphones,408.25090941887385,4946.0,1645.75
28,2025-01-14 17:17:00,7,P124,C0559,1,48000.0,2025-01,33033.0,11,East,0.0,7,3,audio,1088.81822088526,33033.0,13878.18
29,2024-10-29 10:22:00,6,P120,C1179,2,3000.0,2024-10,1029.0,4,East,0.0,6,2,smartphones,168.54132978217444,2058.0,773.46
30,2023-08-11 15:11:00,3,P137,C0542,5,11000.0,2023-08,1422.0,11,East,0.0,15,5,printers,891.6797558677018,7110.0,2998.32
31,2025-10-18 18:44:00,9,P136,C0683,3,7500.0,2025-10,1606.0,5,South,0.0,15,5,printers,696.3910409626637,4818.0,1985.61
32,2024-10-19 15:01:00,5,P109,C0228,1,42000.0,2024-10,31127.0,10,South,0.0,3,1,computers,470.88894301022896,31127.0,10402.11
33,2025-05-09 15:32:00,1,P135,C0500,1,12000.0,2025-05,8606.0,11,East,0.0,14,5,printers,1266.60810061032,8606.0,2127.39
34,2024-04-03 15:24:00,6,P120,C0611,2,3000.0,2024-04,1029.0,7,North,0.0,6,2,smartphones,220.3131022078661,2058.0,721.69
35,2025-10-11 13:36:00,4,P125,C0273,2,9000.0,2025-10,3086.0,12,East,0.0,7,3,audio,239.86838497395118,6172.0,2588.13
36,2025-09-27 15:31:00,1,P133,C0216,1,45000.0,2025-09,32905.0,7,North,0.0,13,5,printers,3739.4070269639315,32905.0,8355.59
37,2023-06-26 10:01:00,5,P137,C0080,5,11000.0,2023-06,1422.0,11,East,0.0,15,5,printers,1277.2481469395366,7110.0,2612.75
38,2023-10-04 11:02:00,3,P118,C0785,2,7000.0,2023-10,2473.0,5,South,0.0,6,2,smartphones,311.78739539748955,4946.0,1742.21
39,2025-06-23 19:05:00,3,P133,C0471,1,45000.0,2025-06,32905.0,10,South,0.0,13,5,printers,2965.6928694983662,32905.0,9129.31
40,2025-03-13 16:24:00,3,P134,C0602,1,28000.0,2025-03,17855.0,8,West,0.0,14,5,printers,1369.7814076387222,17855.0,8775.22
41,2025-02-22 12:13:00,11,P137,C0530,3,6600.0,2025-02,1422.0,3,East,0.0,15,5,printers,784.4373986137738,4266.0,1549.56
42,2024-08-10 09:36:00,10,P115,C1168,1,230000.0,2024-08,161913.0,2,West,0.0,5,2,smartphones,0.0,161913.0,68087.0
43,2024-01-20 12:30:00,5,P109,C0831,1,42000.0,2024-01,31127.0,5,South,0.0,3,1,computers,781.773905885581,31127.0,10091.23
44,2023-01-08 15:53:00,3,P119,C1154,1,2800.0,2023-01,1695.0,3,East,0.0,6,2,smartphones,117.72470550266259,1695.0,987.28
45,2024-08-30 12:23:00,6,P119,C0957,2,5600.0,2024-08,1695.0,3,East,0.0,6,2,smartphones,0.0,3390.0,2210.0
46,2025-11-09 16:31:00,6,P120,C0121,1,1500.0,2025-11,1029.0,9,South,0.0,6,2,smartphones,72.8300605807395,1029.0,398.17
47,2024-12-21 19:37:00,2,P113,C0383,1,58000.0,2024-12,37157.0,9,South,0.0,4,2,smartphones,2950.4099079351163,37157.0,17892.59
48,2024-01-11 14:40:00,6,P125,C0281,1,4500.0,2024-01,3086.0,5,South,0.0,7,3,audio,83.82396268107046,3086.0,1330.18
49,2025-01-04 12:34:00,1,P121,C0936,1,800.0,2025-01,526.0,9,South,0.0,6,2,smartphones,25.40691550263339,526.0,248.59
49,2025-01-04 12:34:00,1,P121,C0936,1,800.0,2025-01,526.0,9,South,0.0,6,2,smartphones,46.11495305701855,526.0,227.89
50,2025-01-31 16:26:00,4,P118,C0038,2,7000.0,2025-01,2473.0,12,East,0.0,6,2,smartphones,222.3105106480421,4946.0,1831.69
50,2025-01-31 16:26:00,4,P118,C0038,2,7000.0,2025-01,2473.0,12,East,0.0,6,2,smartphones,403.50583924891225,4946.0,1650.49
51,2023-08-21 18:43:00,6,P137,C0571,1,2200.0,2023-08,1422.0,11,East,0.0,15,5,printers,178.3359511735404,1422.0,599.66
52,2025-05-21 13:48:00,3,P126,C0269,1,24000.0,2025-05,17991.0,12,East,0.0,8,3,audio,653.5046830755826,17991.0,5355.5
53,2024-01-19 14:09:00,9,P118,C0120,2,7000.0,2024-01,2473.0,7,North,0.0,6,2,smartphones,0.0,4946.0,2054.0
54,2024-07-03 16:18:00,11,P134,C0261,1,28000.0,2024-07,17855.0,12,East,0.0,14,5,printers,2081.734613957706,17855.0,8063.27
55,2023-03-13 09:51:00,8,P104,C0956,1,310000.0,2023-03,196558.0,6,East,0.0,1,1,computers,6021.254338125929,196558.0,107420.75
56,2025-02-21 13:59:00,3,P136,C0110,5,12500.0,2025-02,1606.0,1,North,0.0,15,5,printers,1485.6768913139656,8030.0,2984.32
57,2025-03-08 12:17:00,1,P127,C0185,1,9500.0,2025-03,6907.0,4,East,0.0,8,3,audio,178.29951014695592,6907.0,2414.7
58,2024-12-10 18:13:00,8,P137,C0866,2,4400.0,2024-12,1422.0,11,East,0.0,15,5,printers,526.5146360611611,2844.0,1029.49
59,2024-06-09 10:40:00,3,P110,C0852,1,24000.0,2024-06,15039.0,5,South,0.0,3,1,computers,568.9506880733945,15039.0,8392.05
60,2024-01-11 11:07:00,4,P111,C0296,1,185000.0,2024-01,117065.0,7,North,0.0,4,2,smartphones,0.0,117065.0,67935.0
61,2025-07-30 17:31:00,2,P133,C1156,1,45000.0,2025-07,32905.0,1,North,0.0,13,5,printers,3028.1052490026445,32905.0,9066.89
62,2024-02-20 17:45:00,5,P120,C0854,3,4500.0,2024-02,1029.0,9,South,0.0,6,2,smartphones,300.66184987038775,3087.0,1112.34
63,2023-07-05 11:12:00,1,P121,C0327,3,2400.0,2023-07,526.0,5,South,0.0,6,2,smartphones,0.0,1578.0,822.0
64,2025-07-05 17:36:00,1,P133,C0700,1,45000.0,2025-07,32905.0,11,East,0.0,13,5,printers,3028.1052490026445,32905.0,9066.89
65,2023-04-21 15:03:00,4,P137,C0962,1,2200.0,2023-04,1422.0,10,South,0.0,15,5,printers,177.2433446095014,1422.0,600.76
66,2025-10-10 20:45:00,4,P121,C0624,1,800.0,2025-10,526.0,10,South,0.0,6,2,smartphones,0.0,526.0,274.0
67,2024-01-11 20:36:00,2,P118,C0367,5,17500.0,2024-01,2473.0,8,West,0.0,6,2,smartphones,0.0,12365.0,5135.0
68,2023-11-24 12:51:00,1,P113,C0826,1,58000.0,2023-11,37157.0,2,West,0.0,4,2,smartphones,3599.8187858652973,37157.0,17243.18
69,2024-11-24 10:28:00,10,P120,C0227,1,1500.0,2024-11,1029.0,2,West,0.0,6,2,smartphones,103.08334177654909,1029.0,367.92
70,2024-06-11 12:36:00,4,P126,C0746,1,24000.0,2024-06,17991.0,3,East,0.0,8,3,audio,398.828418761132,17991.0,5610.17
71,2023-12-10 11:26:00,10,P118,C0968,1,3500.0,2023-12,2473.0,12,East,0.0,6,2,smartphones,265.5609961735521,2473.0,761.44
72,2023-02-26 10:00:00,8,P129,C1017,1,68000.0,2023-02,46007.0,3,East,0.0,10,4,cameras,2131.46517213771,46007.0,19861.53
73,2024-07-19 11:38:00,5,P119,C0181,2,5600.0,2024-07,1695.0,2,West,0.0,6,2,smartphones,228.77541405428914,3390.0,1981.22
74,2025-06-30 13:57:00,5,P104,C0704,1,310000.0,2025-06,196558.0,3,East,0.0,1,1,computers,7313.592233009708,196558.0,106128.41
75,2025-06-28 09:48:00,2,P120,C0413,1,1500.0,2025-06,1029.0,3,East,0.0,6,2,smartphones,78.26227390180878,1029.0,392.74
76,2024-06-08 20:05:00,9,P118,C0051,5,17500.0,2024-06,2473.0,11,East,0.0,6,2,smartphones,625.8401571448857,12365.0,4509.16
77,2025-01-21 09:34:00,3,P137,C0700,2,4400.0,2025-01,1422.0,11,East,0.0,15,5,printers,486.24952308279285,2844.0,1069.75
78,2024-04-30 16:26:00,7,P125,C0699,3,13500.0,2024-04,3086.0,1,North,0.0,7,3,audio,229.95942408376965,9258.0,4012.04
79,2023-11-06 15:57:00,1,P121,C0238,3,2400.0,2023-11,526.0,6,East,0.0,6,2,smartphones,148.9580187254606,1578.0,673.04
80,2024-06-16 20:55:00,1,P137,C0782,1,2200.0,2024-06,1422.0,8,West,0.0,15,5,printers,170.8884758364312,1422.0,607.11
81,2023-03-11 11:00:00,5,P118,C0423,1,3500.0,2023-03,2473.0,2,West,0.0,6,2,smartphones,135.94675794195427,2473.0,891.05
82,2025-10-25 19:42:00,5,P129,C0400,1,68000.0,2025-10,46007.0,5,South,0.0,10,4,cameras,868.2465462274176,46007.0,21124.75
83,2024-05-01 16:22:00,2,P121,C0547,1,800.0,2024-05,526.0,2,West,0.0,6,2,smartphones,20.476809100804044,526.0,253.52
84,2023-07-04 20:03:00,2,P119,C1157,2,5600.0,2023-07,1695.0,5,South,0.0,6,2,smartphones,0.0,3390.0,2210.0
85,2025-08-26 19:51:00,1,P118,C0954,1,3500.0,2025-08,2473.0,8,West,0.0,6,2,smartphones,168.4863586390464,2473.0,858.51
86,2023-08-25 10:33:00,3,P120,C0557,1,1500.0,2023-08,1029.0,5,South,0.0,6,2,smartphones,109.4515358444128,1029.0,361.55
87,2023-01-08 18:11:00,12,P112,C0090,1,38000.0,2023-01,25796.0,3,East,0.0,4,2,smartphones,1597.6924318218494,25796.0,10606.31
88,2024-06-08 12:22:00,2,P121,C0558,2,1600.0,2024-06,526.0,7,North,0.0,6,2,smartphones,57.21967151038955,1052.0,490.78
89,2024-10-20 18:48:00,3,P121,C0390,1,800.0,2024-10,526.0,9,South,0.0,6,2,smartphones,44.94435460857985,526.0,229.06
90,2024-06-25 12:27:00,8,P119,C0551,3,8400.0,2024-06,1695.0,9,South,0.0,6,2,smartphones,300.4032754295451,5085.0,3014.6
91,2025-09-05 14:18:00,12,P118,C0452,2,7000.0,2025-09,2473.0,2,West,0.0,6,2,smartphones,280.93475892586395,4946.0,1773.07
92,2023-08-06 18:45:00,4,P130,C0655,1,130000.0,2023-08,83075.0,7,North,0.0,12,4,cameras,2268.9814814814818,83075.0,44656.02
93,2025-05-15 11:24:00,2,P120,C0355,2,3000.0,2025-05,1029.0,3,East,0.0,6,2,smartphones,82.31116076772675,2058.0,859.69
94,2024-01-02 15:06:00,7,P113,C0470,1,58000.0,2024-01,37157.0,6,East,0.0,4,2,smartphones,0.0,37157.0,20843.0
95,2025-07-21 18:35:00,4,P136,C0583,2,5000.0,2025-07,1606.0,3,East,0.0,15,5,printers,336.4561387780716,3212.0,1451.54
96,2024-07-21 12:55:00,7,P137,C1013,1,2200.0,2024-07,1422.0,9,South,0.0,15,5,printers,163.56486252524837,1422.0,614.44
97,2023-12-03 16:47:00,1,P125,C0430,3,13500.0,2023-12,3086.0,7,North,0.0,7,3,audio,437.0103092783505,9258.0,3804.99
98,2023-09-07 12:07:00,3,P126,C0490,1,24000.0,2023-09,17991.0,4,East,0.0,8,3,audio,623.7508111615833,17991.0,5385.25
99,2024-08-13 14:39:00,3,P137,C0505,2,4400.0,2024-08,1422.0,3,East,0.0,15,5,printers,314.72639285271123,2844.0,1241.27
100,2024-10-05 11:37:00,1,P109,C0711,1,42000.0,2024-10,31127.0,12,East,0.0,3,1,computers,470.88894301022896,31127.0,10402.11
101,2025-06-24 10:09:00,3,P124,C0452,1,48000.0,2025-06,33033.0,2,West,0.0,7,3,audio,709.0790899241604,33033.0,14257.92
102,2024-11-11 17:37:00,1,P124,C0047,1,48000.0,2024-11,33033.0,12,East,0.0,7,3,audio,2173.858845096242,33033.0,12793.14
103,2024-02-11 19:49:00,1,P113,C0928,1,58000.0,2024-02,37157.0,1,North,0.0,4,2,smartphones,3875.1971761072195,37157.0,16967.8
104,2025-07-03 11:08:00,4,P123,C0929,1,9500.0,2025-07,7113.0,3,East,0.0,7,3,audio,122.5238837980113,7113.0,2264.48
105,2025-08-01 11:47:00,3,P120,C0999,1,1500.0,2025-08,1029.0,1,North,0.0,6,2,smartphones,72.20843941673418,1029.0,398.79
106,2023-04-06 20:11:00,7,P137,C0766,3,6600.0,2023-04,1422.0,9,South,0.0,15,5,printers,531.7300338285042,4266.0,1802.27
107,2023-07-29 11:21:00,1,P119,C0298,1,2800.0,2023-07,1695.0,1,North,0.0,6,2,smartphones,0.0,1695.0,1105.0
108,2023-08-08 18:52:00,7,P118,C0799,2,7000.0,2023-08,2473.0,4,East,0.0,6,2,smartphones,510.7738339405931,4946.0,1543.23
109,2025-03-30 12:40:00,7,P125,C1021,2,9000.0,2025-03,3086.0,8,West,0.0,7,3,audio,168.91532540237927,6172.0,2659.08
110,2023-09-26 14:05:00,3,P121,C1190,1,800.0,2023-09,526.0,2,West,0.0,6,2,smartphones,30.599255618923053,526.0,243.4
111,2025-11-29 14:49:00,5,P125,C0542,3,13500.0,2025-11,3086.0,11,East,0.0,7,3,audio,371.9865211810013,9258.0,3870.01
112,2023-10-05 18:37:00,5,P136,C0914,3,7500.0,2023-10,1606.0,10,South,0.0,15,5,printers,558.5196204567385,4818.0,2123.48
113,2024-11-21 14:07:00,2,P108,C0107,1,48000.0,2024-11,31082.0,1,North,0.0,3,1,computers,1563.2147141143544,31082.0,15354.79
114,2025-12-05 20:06:00,9,P120,C1028,2,3000.0,2025-12,1029.0,12,East,0.0,6,2,smartphones,178.17277608514476,2058.0,763.83
115,2024-05-26 20:41:00,2,P135,C0949,1,12000.0,2024-05,8606.0,10,South,0.0,14,5,printers,662.0151814495165,8606.0,2731.98
116,2024-12-12 16:48:00,2,P137,C0103,2,4400.0,2024-12,1422.0,12,East,0.0,15,5,printers,526.5146360611611,2844.0,1029.49
117,2025-04-16 20:13:00,5,P136,C0685,3,7500.0,2025-04,1606.0,11,East,0.0,15,5,printers,958.5312128975818,4818.0,1723.47
118,2023-05-29 11:57:00,1,P118,C0639,1,3500.0,2023-05,2473.0,1,North,0.0,6,2,smartphones,104.81167946050648,2473.0,922.19
119,2023-12-02 09:46:00,5,P121,C0694,1,800.0,2023-12,526.0,11,East,0.0,6,2,smartphones,60.69965626824048,526.0,213.3
120,2023-05-09 12:09:00,7,P133,C0007,1,45000.0,2023-05,32905.0,11,East,0.0,13,5,printers,5551.80956484274,32905.0,6543.19
121,2024-08-11 16:39:00,8,P119,C0924,2,5600.0,2024-08,1695.0,7,North,0.0,6,2,smartphones,0.0,3390.0,2210.0
122,2024-01-23 13:15:00,1,P136,C0857,2,5000.0,2024-01,1606.0,11,East,0.0,15,5,printers,530.3052265385571,3212.0,1257.69
123,2023-09-06 10:11:00,1,P126,C0717,1,24000.0,2023-09,17991.0,2,West,0.0,8,3,audio,623.7508111615833,17991.0,5385.25
124,2024-12-19 14:55:00,1,P112,C0505,1,38000.0,2024-12,25796.0,3,East,0.0,4,2,smartphones,1933.0271810609381,25796.0,10270.97
125,2023-12-31 18:01:00,6,P125,C0750,2,9000.0,2023-12,3086.0,6,East,0.0,7,3,audio,291.340206185567,6172.0,2536.66
126,2024-06-23 13:16:00,6,P120,C0448,3,4500.0,2024-06,1029.0,4,East,0.0,6,2,smartphones,160.93032612297063,3087.0,1252.07
127,2025-01-15 15:13:00,2,P119,C0215,1,2800.0,2025-01,1695.0,5,South,0.0,6,2,smartphones,88.92420425921685,1695.0,1016.08
127,2025-01-15 15:13:00,2,P119,C0215,1,2800.0,2025-01,1695.0,5,South,0.0,6,2,smartphones,161.40233569956493,1695.0,943.6
128,2025-12-10 11:49:00,1,P126,C0808,1,24000.0,2025-12,17991.0,4,East,0.0,8,3,audio,498.3792705066843,17991.0,5510.62
129,2024-10-06 09:15:00,1,P120,C0572,3,4500.0,2024-10,1029.0,3,East,0.0,6,2,smartphones,252.81199467326167,3087.0,1160.19
130,2023-09-22 12:10:00,1,P118,C0161,3,10500.0,2023-09,2473.0,11,East,0.0,6,2,smartphones,401.6152299983651,7419.0,2679.38
131,2025-05-31 19:58:00,1,P133,C0826,1,45000.0,2025-05,32905.0,2,West,0.0,13,5,printers,4749.7803772887,32905.0,7345.22
132,2024-03-19 11:00:00,5,P118,C0984,5,17500.0,2024-03,2473.0,11,East,0.0,6,2,smartphones,926.0871724411925,12365.0,4208.91
133,2024-06-06 10:58:00,1,P113,C0828,1,58000.0,2024-06,37157.0,6,East,0.0,4,2,smartphones,2074.213092251621,37157.0,18768.79
134,2024-08-23 18:42:00,1,P119,C0077,2,5600.0,2024-08,1695.0,10,South,0.0,6,2,smartphones,0.0,3390.0,2210.0
135,2025-05-03 09:28:00,4,P121,C0833,3,2400.0,2025-05,526.0,5,South,0.0,6,2,smartphones,65.84892861418139,1578.0,756.15
136,2024-06-29 12:03:00,10,P112,C0297,1,38000.0,2024-06,25796.0,10,South,0.0,4,2,smartphones,1358.9671983717517,25796.0,10845.03
137,2025-03-19 15:33:00,6,P118,C0442,1,3500.0,2025-03,2473.0,6,East,0.0,6,2,smartphones,80.39759967410718,2473.0,946.6
138,2023-07-10 11:56:00,6,P109,C0165,1,42000.0,2023-07,31127.0,6,East,0.0,3,1,computers,966.9297709923663,31127.0,9906.07
139,2024-05-05 10:28:00,6,P110,C1092,1,24000.0,2024-05,15039.0,2,West,0.0,3,1,computers,711.9745222929936,15039.0,8249.03
140,2025-07-18 16:10:00,3,P137,C0577,3,6600.0,2025-07,1422.0,2,West,0.0,15,5,printers,444.12210318705456,4266.0,1889.88
141,2025-05-31 16:37:00,10,P125,C0276,3,13500.0,2025-05,3086.0,12,East,0.0,7,3,audio,367.59638423001525,9258.0,3874.4
142,2024-03-26 20:31:00,5,P136,C0525,1,2500.0,2024-03,1606.0,1,North,0.0,15,5,printers,233.25834515719512,1606.0,660.74
143,2023-02-26 17:45:00,1,P137,C0526,2,4400.0,2023-02,1422.0,2,West,0.0,15,5,printers,437.7160305343511,2844.0,1118.28
144,2025-11-23 13:39:00,4,P136,C0393,3,7500.0,2025-11,1606.0,1,North,0.0,15,5,printers,682.1519581545065,4818.0,1999.85
145,2023-05-14 10:31:00,1,P114,C0644,1,75000.0,2023-05,53367.0,4,East,0.0,4,2,smartphones,2245.9645598679963,53367.0,19387.04
146,2025-01-07 12:04:00,10,P119,C0641,5,14000.0,2025-01,1695.0,5,South,0.0,6,2,smartphones,444.6210212960842,8475.0,5080.38
146,2025-01-07 12:04:00,10,P119,C0641,5,14000.0,2025-01,1695.0,5,South,0.0,6,2,smartphones,807.0116784978245,8475.0,4717.99
147,2024-12-27 13:45:00,1,P118,C0755,1,3500.0,2024-12,2473.0,6,East,0.0,6,2,smartphones,178.04197720298114,2473.0,848.96
148,2025-06-15 17:02:00,2,P108,C0586,1,48000.0,2025-06,31082.0,1,North,0.0,3,1,computers,1132.4271844660193,31082.0,15785.57
149,2024-12-26 10:41:00,1,P102,C0507,1,195000.0,2024-12,141052.0,7,North,0.0,1,1,computers,4047.0905172413795,141052.0,49900.91
150,2023-12-31 20:56:00,11,P136,C0262,2,5000.0,2023-12,1606.0,3,East,0.0,15,5,printers,428.8922155688623,3212.0,1359.11
151,2025-05-31 17:06:00,9,P135,C1059,1,12000.0,2025-05,8606.0,8,West,0.0,14,5,printers,1266.60810061032,8606.0,2127.39
152,2024-03-04 13:31:00,8,P120,C1080,1,1500.0,2024-03,1029.0,11,East,0.0,6,2,smartphones,79.37890049495935,1029.0,391.62
153,2024-07-04 16:29:00,1,P120,C0062,1,1500.0,2024-07,1029.0,2,West,0.0,6,2,smartphones,61.27912876454174,1029.0,409.72
154,2023-11-16 17:51:00,3,P123,C0484,1,9500.0,2023-11,7113.0,11,East,0.0,7,3,audio,392.2875245794188,7113.0,1994.71
155,2023-02-07 17:06:00,8,P136,C1042,1,2500.0,2023-02,1606.0,11,East,0.0,15,5,printers,248.70229007633588,1606.0,645.3
156,2023-07-22 17:27:00,1,P119,C1065,1,2800.0,2023-07,1695.0,9,South,0.0,6,2,smartphones,0.0,1695.0,1105.0
157,2025-05-27 11:31:00,2,P137,C0541,1,2200.0,2025-05,1422.0,4,East,0.0,15,5,printers,232.211485111892,1422.0,545.79
158,2023-11-14 10:00:00,4,P101,C0934,1,260000.0,2023-11,167880.0,4,East,0.0,1,1,computers,6516.455696202532,167880.0,85603.54
159,2023-12-20 19:41:00,1,P128,C0208,1,58000.0,2023-12,37743.0,8,West,0.0,10,4,cameras,1558.7944785276075,37743.0,18698.21
160,2025-06-04 15:04:00,2,P119,C0535,2,5600.0,2025-06,1695.0,3,East,0.0,6,2,smartphones,292.17915590008613,3390.0,1917.82
161,2023-07-25 10:20:00,3,P108,C1129,1,48000.0,2023-07,31082.0,6,East,0.0,3,1,computers,1105.0625954198472,31082.0,15812.94
162,2024-07-01 17:23:00,3,P112,C0415,1,38000.0,2024-07,25796.0,3,East,0.0,4,2,smartphones,1552.4045953683903,25796.0,10651.6
163,2025-02-02 16:17:00,2,P137,C0210,3,6600.0,2025-02,1422.0,8,West,0.0,15,5,printers,784.4373986137738,4266.0,1549.56
164,2023-09-30 10:46:00,6,P137,C1098,5,11000.0,2023-09,1422.0,9,South,0.0,15,5,printers,784.2531095278349,7110.0,3105.75
165,2023-04-24 10:17:00,1,P136,C0909,2,5000.0,2023-04,1606.0,6,East,0.0,15,5,printers,402.82578320341224,3212.0,1385.17
166,2025-03-07 14:33:00,6,P137,C0234,3,6600.0,2025-03,1422.0,3,East,0.0,15,5,printers,322.8770460862702,4266.0,2011.12
167,2025-10-28 19:39:00,1,P119,C0844,3,8400.0,2025-10,1695.0,4,East,0.0,6,2,smartphones,0.0,5085.0,3315.0
168,2024-09-29 18:32:00,2,P113,C0373,1,58000.0,2024-09,37157.0,2,West,0.0,4,2,smartphones,2425.15623421421,37157.0,18417.84
169,2025-11-29 19:10:00,1,P121,C1161,1,800.0,2025-11,526.0,9,South,0.0,6,2,smartphones,38.8426989763944,526.0,235.16
170,2024-06-17 09:22:00,3,P134,C0579,1,28000.0,2024-06,17855.0,12,East,0.0,14,5,printers,2174.9442379182155,17855.0,7970.06
171,2025-03-27 13:40:00,1,P121,C1005,1,800.0,2025-03,526.0,4,East,0.0,6,2,smartphones,18.376594211224504,526.0,255.62
172,2024-09-11 14:08:00,3,P113,C0483,1,58000.0,2024-09,37157.0,2,West,0.0,4,2,smartphones,2425.15623421421,37157.0,18417.84
173,2024-06-24 12:50:00,3,P136,C0388,5,12500.0,2024-06,1606.0,10,South,0.0,15,5,printers,970.9572490706319,8030.0,3499.04
174,2025-08-23 16:16:00,11,P100,C0063,1,125000.0,2025-08,87901.0,2,West,0.0,1,1,computers,2334.383645865355,87901.0,34764.62
175,2023-04-10 16:51:00,2,P120,C0755,2,3000.0,2023-04,1029.0,6,East,0.0,6,2,smartphones,182.65546784751635,2058.0,759.34
176,2024-03-09 10:20:00,1,P132,C0266,1,38000.0,2024-03,23961.0,10,South,0.0,13,5,printers,3545.5268463893663,23961.0,10493.47
177,2023-02-16 12:16:00,4,P106,C0939,1,320000.0,2023-02,198987.0,8,West,0.0,2,1,computers,8809.462494385387,198987.0,112203.54
178,2023-10-11 11:17:00,1,P119,C0323,1,2800.0,2023-10,1695.0,3,East,0.0,6,2,smartphones,124.71495815899581,1695.0,980.29
179,2023-12-28 17:49:00,2,P111,C0020,1,185000.0,2023-12,117065.0,5,South,0.0,4,2,smartphones,14036.795512030612,117065.0,53898.2
